Player,Runs,Balls,4s,6s,SR,Team,Opposition,Ground,Match Date
CA Ingram,127*,59,12,8,215.25,Kings,v Gladiators,Sharjah,24 Feb 2019
CS Delport,117*,60,13,6,195.00,United,v Qalandars,Karachi,9 Mar 2019
Sharjeel Khan,117,62,12,8,188.70,United,v Zalmi,Dubai (DSC),21 Feb 2016
CA Lynn,113*,55,12,8,205.45,Qalandars,v Sultans,Lahore,15 Mar 2020
Kamran Akmal,107*,61,11,7,175.40,Zalmi,v Qalandars,Sharjah,16 Mar 2018
Kamran Akmal,104,65,6,7,160.00,Zalmi,v Kings,Dubai (DSC),3 Mar 2017
Kamran Akmal,101,55,13,4,183.63,Zalmi,v Gladiators,Karachi,22 Feb 2020
RR Rossouw,100*,44,10,6,227.27,Sultans,v Gladiators,Multan,29 Feb 2020
BR Dunk,99*,40,3,12,247.50,Qalandars,v Kings,Lahore,8 Mar 2020
Ahmed Shehzad,99,57,8,6,173.68,Gladiators,v Kings,Karachi,10 Mar 2019
Mohammad Hafeez,98*,57,7,7,171.92,Qalandars,v United,Lahore,23 Feb 2020
L Ronchi,94*,39,12,5,241.02,United,v Kings,Dubai (DSC),18 Mar 2018
Fakhar Zaman,94,50,9,6,188.00,Qalandars,v Gladiators,Sharjah,14 Mar 2018
Umar Akmal,93,40,6,8,232.50,Qalandars,v Gladiators,Dubai (DSC),8 Feb 2016
BR Dunk,93,43,3,10,216.27,Qalandars,v Gladiators,Lahore,3 Mar 2020
SR Watson,91*,55,6,6,165.45,Gladiators,v Zalmi,Abu Dhabi,4 Mar 2019
SR Watson,90*,58,5,7,155.17,Gladiators,v Kings,Dubai (DSC),8 Mar 2018
KP Pietersen,88*,42,3,8,209.52,Gladiators,v Qalandars,Sharjah,18 Feb 2017
Kamran Akmal,88,48,6,6,183.33,Zalmi,v United,Dubai (DSC),9 Feb 2017
C Munro,87*,59,8,3,147.45,United,v Qalandars,Lahore,4 Mar 2020
LJ Wright,86*,53,11,4,162.26,Gladiators,v United,Dubai (DSC),4 Feb 2016
Kamran Akmal,86,48,10,5,179.16,Zalmi,v Kings,Karachi,11 Mar 2019
BJ Hodge,85*,45,6,6,188.88,Zalmi,v Kings,Dubai (DSC),17 Feb 2016
Sohaib Maqsood,85*,42,4,7,202.38,Sultans,v Zalmi,Dubai (DSC),6 Mar 2018
L Ronchi,85*,58,9,2,146.55,United,v Kings,Rawalpindi,1 Mar 2020
JM Vince,84,41,7,6,204.87,Sultans,v Qalandars,Sharjah,22 Feb 2019
LS Livingstone,82,43,6,6,190.69,Kings,v Sultans,Dubai (DSC),15 Feb 2019
SR Watson,81*,55,6,4,147.27,Gladiators,v United,Dubai (DSC),17 Feb 2019
Tamim Iqbal,80*,58,6,3,137.93,Zalmi,v United,Sharjah,12 Feb 2016
EJG Morgan,80*,57,8,3,140.35,Zalmi,v Kings,Dubai (DSC),10 Feb 2017
AD Hales,80*,48,6,5,166.66,Kings,v Qalandars,Lahore,8 Mar 2020
SR Watson,80,41,7,7,195.12,Gladiators,v Sultans,Multan,29 Feb 2020
Sharjeel Khan,79*,43,5,7,183.72,United,v Qalandars,Sharjah,10 Feb 2016
JL Denly,79*,46,9,4,171.73,Kings,v Zalmi,Lahore,21 Mar 2018
SR Watson,79,47,4,7,168.08,United,v Qalandars,Sharjah,10 Feb 2016
SW Billings,78*,50,8,3,156.00,United,v Gladiators,Sharjah,15 Feb 2017
CS Delport,78,61,6,3,127.86,Qalandars,v Zalmi,Sharjah,13 Feb 2016
JL Denly,78,55,10,2,141.81,Kings,v Sultans,Dubai (DSC),10 Mar 2018
Babar Azam,78,56,7,2,139.28,Kings,v Zalmi,Karachi,21 Feb 2020
Mohammad Hafeez,77,47,5,6,163.82,Zalmi,v Gladiators,Sharjah,28 Feb 2017
L Ronchi,77,41,5,6,187.80,United,v Qalandars,Dubai (DSC),8 Mar 2018
Kamran Akmal,77,27,5,8,285.18,Zalmi,v Kings,Lahore,21 Mar 2018
Babar Azam,77,59,6,1,130.50,Kings,v Sultans,Dubai (DSC),15 Feb 2019
Shadab Khan,77,42,5,4,183.33,United,v Zalmi,Rawalpindi,7 Mar 2020
RR Rossouw,76*,53,7,3,143.39,Gladiators,v Kings,Dubai (DSC),11 Feb 2017
Umar Akmal,75*,50,7,3,150.00,Gladiators,v Zalmi,Dubai (DSC),15 Feb 2019
Kamran Akmal,75,51,3,6,147.05,Zalmi,v Kings,Sharjah,15 Mar 2018
Sohail Akhtar,75,34,8,5,220.58,Qalandars,v United,Karachi,9 Mar 2019
Sharjeel Khan,74*,59,5,5,125.42,Kings,v Qalandars,Karachi,12 Mar 2020
Mohammad Hafeez,74*,46,9,2,160.86,Qalandars,v Zalmi,Karachi,14 Nov 2020
