Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Wahab Riaz,2016-2020,55,54,202.5,0,1422,76,3/17,18.71,7.01,16.0,0,0
Hasan Ali,2016-2020,45,44,165.1,1,1235,59,4/15,20.93,7.47,16.7,3,0
Mohammad Amir,2016-2020,48,47,174.4,4,1249,49,4/25,25.48,7.15,21.3,2,0
Mohammad Nawaz,2016-2020,52,52,175.4,1,1252,49,4/13,25.55,7.12,21.5,1,0
Sohail Tanvir,2016-2020,46,44,159.5,2,1207,48,4/13,25.14,7.55,19.9,2,0
Faheem Ashraf,2018-2020,31,31,104.5,1,852,46,6/19,18.52,8.12,13.6,1,1
Mohammad Sami,2016-2019,36,36,127.0,1,875,42,5/8,20.83,6.88,18.1,0,1
Shahid Afridi,2016-2020,46,44,146.4,5,992,42,5/7,23.61,6.76,20.9,0,1
Sohail Khan,2016-2020,34,33,118.1,1,1013,37,3/23,27.37,8.57,19.1,0,0
Shadab Khan,2017-2020,41,41,145.4,0,1043,37,3/13,28.18,7.16,23.6,0,0
Usman Shinwari,2017-2020,31,30,102.0,0,905,35,4/15,25.85,8.87,17.4,2,0
Shaheen Shah Afridi,2018-2020,27,27,98.3,2,768,34,5/4,22.58,7.79,17.3,1,1
Rahat Ali,2018-2020,28,28,102.2,0,800,34,4/16,23.52,7.81,18.0,2,0
Rumman Raees,2016-2020,32,32,110.0,0,818,34,4/25,24.05,7.43,19.4,1,0
Mohammad Irfan,2016-2020,41,39,145.0,3,1014,33,3/22,30.72,6.99,26.3,0,0
Imad Wasim,2016-2020,48,45,145.3,0,1004,29,3/18,34.62,6.90,30.1,0,0
TS Mills,2017-2020,22,21,78.3,0,612,28,3/20,21.85,7.79,16.8,0,0
Umaid Asif,2018-2020,27,27,101.0,0,780,28,4/23,27.85,7.72,21.6,1,0
Mohammad Hasnain,2019-2020,16,16,60.0,1,498,27,4/25,18.44,8.30,13.3,2,0
SR Patel,2018-2020,29,27,84.0,1,614,27,4/5,22.74,7.30,18.6,2,0
Yasir Shah,2017-2020,27,27,95.1,0,692,26,4/7,26.61,7.27,21.9,1,0
Junaid Khan,2016-2020,27,25,92.0,1,780,26,3/24,30.00,8.47,21.2,0,0
CJ Jordan,2017-2020,22,22,77.0,0,610,25,3/26,24.40,7.92,18.4,0,0
Imran Tahir,2018-2020,20,18,65.0,1,477,24,3/19,19.87,7.33,16.2,0,0
SR Watson,2016-2020,46,26,74.0,0,612,23,4/44,26.60,8.27,19.3,1,0
Anwar Ali,2016-2020,35,33,99.1,1,860,23,2/21,37.39,8.67,25.8,0,0
Mohammad Irfan,2017-2019,21,20,63.0,0,589,22,3/26,26.77,9.34,17.1,0,0
AD Russell,2016-2019,18,17,55.2,0,483,21,3/18,23.00,8.72,15.8,0,0
Mohammad Asghar,2016-2018,21,21,63.4,1,489,21,3/16,23.28,7.68,18.1,0,0
Haris Rauf,2019-2020,18,18,66.0,0,569,21,4/23,27.09,8.62,18.8,1,0
SP Narine,2017-2018,17,17,66.0,0,411,20,3/28,20.55,6.22,19.8,0,0
Umer Khan,2019-2020,17,15,51.0,0,397,19,3/22,20.89,7.78,16.1,0,0
Zafar Gohar,2016-2020,13,12,36.2,0,268,18,4/14,14.88,7.37,12.1,1,0
Usama Mir,2016-2020,20,20,65.5,0,557,18,3/24,30.94,8.46,21.9,0,0
Mohammad Ilyas,2019-2020,17,15,43.4,0,363,17,3/27,21.35,8.31,15.4,0,0
D Wiese,2018-2020,19,18,57.0,0,489,17,3/27,28.76,8.57,20.1,0,0
Sameen Gul,2018-2019,15,15,55.0,0,459,16,3/29,28.68,8.34,20.6,0,0
GD Elliott,2016-2017,13,13,34.0,0,249,15,4/15,16.60,7.32,13.6,2,0
Amad Butt,2017-2020,16,14,40.5,0,375,15,4/27,25.00,9.18,16.3,1,0
RS Bopara,2016-2020,37,19,45.0,0,393,15,6/16,26.20,8.73,18.0,0,1
Hassan Khan,2017-2019,23,23,63.4,0,444,15,2/10,29.60,6.97,25.4,0,0
Fawad Ahmed,2019-2020,17,17,64.5,0,463,15,3/15,30.86,7.14,25.9,0,0
Zulfiqar Babar,2016-2017,18,18,72.0,2,499,15,2/17,33.26,6.93,28.8,0,0
Dilbar Hussain,2020-2020,11,11,34.3,0,279,14,4/24,19.92,8.08,14.7,1,0
Muhammad Musa,2019-2020,14,14,45.4,2,422,14,3/25,30.14,9.24,19.5,0,0
Aamer Yamin,2016-2020,18,18,58.1,1,458,14,3/17,32.71,7.87,24.9,0,0
Umar Gul,2016-2018,10,9,33.0,0,263,13,6/24,20.23,7.96,15.2,0,1
S Lamichhane,2019-2019,7,7,24.4,0,189,11,4/10,17.18,7.66,13.4,1,0
DJ Bravo,2016-2019,14,14,51.0,0,425,11,3/19,38.63,8.33,27.8,0,0
LA Dawson,2018-2020,24,20,57.0,1,462,11,3/17,42.00,8.10,31.0,0,0
