Player,Span,Mat,Inns,Catches,Max,Ct/Inn
Mohammad Nawaz,2016-2020,52,52,30,3,0.576
Babar Azam,2016-2020,47,46,25,4,0.543
KA Pollard,2017-2019,33,32,24,4,0.750
Mohammad Hafeez,2016-2020,48,47,21,3,0.446
Asif Ali,2016-2020,43,43,20,2,0.465
Ahmed Shehzad,2016-2020,45,44,20,2,0.454
Umar Akmal,2016-2019,32,31,19,2,0.612
Fakhar Zaman,2017-2020,40,40,19,2,0.475
CJ Jordan,2017-2020,22,22,18,3,0.818
Wahab Riaz,2016-2020,55,54,18,3,0.333
RS Bopara,2016-2020,37,35,17,4,0.485
DJG Sammy,2016-2020,49,48,17,2,0.354
Shadab Khan,2017-2020,41,41,15,2,0.365
Hasan Ali,2016-2020,45,44,15,2,0.340
Hassan Khan,2017-2019,23,23,13,3,0.565
Shahid Afridi,2016-2020,46,44,13,2,0.295
JM Vince,2016-2020,20,20,12,3,0.600
LA Dawson,2018-2020,24,24,12,2,0.500
Anwar Ali,2016-2020,35,35,12,2,0.342
Sohail Tanvir,2016-2020,46,44,12,2,0.272
SR Patel,2018-2020,29,29,11,2,0.379
CA Ingram,2018-2020,32,31,11,2,0.354
Sohail Akhtar,2018-2020,32,32,11,2,0.343
Mohammad Sami,2016-2019,36,36,11,3,0.305
RR Rossouw,2017-2020,40,39,11,1,0.282
Imad Wasim,2016-2020,48,47,11,2,0.234
Shan Masood,2019-2020,15,14,10,2,0.714
AD Hales,2018-2020,15,15,10,3,0.666
LS Livingstone,2019-2020,19,19,10,3,0.526
Hussain Talat,2017-2020,29,29,10,2,0.344
Misbah-ul-Haq,2016-2019,29,29,10,2,0.344
Faheem Ashraf,2018-2020,31,31,10,2,0.322
Rumman Raees,2016-2020,32,32,10,1,0.312
SR Watson,2016-2020,46,46,10,2,0.217
Shoaib Malik,2016-2020,48,47,10,2,0.212
D Wiese,2018-2020,19,19,9,1,0.473
Iftikhar Ahmed,2016-2020,26,26,9,3,0.346
JP Duminy,2018-2018,10,10,8,2,0.800
JL Denly,2018-2018,12,11,8,3,0.727
Amad Butt,2017-2020,16,16,8,2,0.500
AD Russell,2016-2019,18,18,8,3,0.444
DJ Malan,2016-2020,20,20,8,2,0.400
Umar Amin,2016-2020,20,20,8,2,0.400
Mohammad Asghar,2016-2018,21,21,8,2,0.380
DR Smith,2016-2019,28,28,8,2,0.285
T Banton,2020-2020,7,7,7,2,1.000
JJ Roy,2017-2020,15,15,7,2,0.466
Zulfiqar Babar,2016-2017,18,18,7,1,0.388
TS Mills,2017-2020,22,21,7,2,0.333
Sohaib Maqsood,2016-2020,24,22,7,2,0.318
